"","repo_id","repo_name","full_name","owner_name","created_at","depth.x","commits","total_dependencies","dependencies","commits_after","depend_after","depend_after_details","jaccard_distance","jaccard_simmilarity","group","age.x","commits_category","age_category","ghtorrent_created_at","ancestor","age.y","stars","forks","active_forks","depth.y","user_count","users_also_in_family","followers_repo","followers_family","followers_outside","pr_within","pr_family","pr_within_comments","pr_family_comments","pr_within_code_comments","pr_family_code_comments","issue_repo","issue_family","issue_outside","issue_repo_comment","issue_family_comment","issue_outside_comment","issues_subscribed_repo","issues_subscribed_family","issues_subscribed_outside","issues_unsubscribed_repo","issues_unsubscribed_family","issues_unsubscribed_outside","issues_closed_repo","issues_closed_family","issues_closed_outside","issues_reopened_repo","issues_reopened_family","issues_reopened_outside","issues_referenced_repo","issues_referenced_family","issues_referenced_outside","issues_assigned_repo","issues_assigned_family","issues_assigned_outside","issues_mentioned_repo","issues_mentioned_family","issues_mentioned_outside","pr_mentioned_within","pr_mentioned_family","ageindays","activityDensity","densitybins","new_jaccard"
"73",41626221,"java-driver","TheWeatherChannel/java-driver","TheWeatherChannel","2014-08-26T17:06:12Z/5019/6",1,5019,2,"log4j/log4j:1.2.17, org.apache.maven.plugins/maven-compiler-plugin:3.1, ",4,0,"-",0.48,0.52,0,1493,1,2,2014-08-26,18733447,969,0,0,0,"1",1,1,0,0,0,1,2,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648,3.04550970873786,"1",0
"80",32236369,"redisson","slavarosin/redisson","slavarosin","2016-10-10T18:37:15Z/5282/4",1,5282,3,"org.apache.maven.scm/maven-scm-provider-gitexe:1.9.5, org.apache.maven.plugins/maven-source-plugin:3.0.1, org.apache.maven.plugins/maven-release-plugin:2.5.3, ",1,0,"-",0.44,0.56,0,1964,1,1,2016-10-10,18733447,1110,1,0,0,"1",1,0,0,0,199,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,6.05733944954128,"1",0
"81",29313937,"gson","todoooo/gson","todoooo","2016-07-05T02:51:58Z/5290/1",1,5290,4,"junit/junit:4.12, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",26,8,"org.apache.maven.plugins/maven-gpg-plugin:1.5, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-javadoc-plugin:3.1.0, junit/junit:4.12, org.apache.maven.plugins/maven-release-plugin:2.4.2, com.google.code.gson/gson:2.7, org.apache.maven.plugins/maven-compiler-plugin:3.5.1, org.apache.maven.plugins/maven-compiler-plugin:3.0, ",0.09,0.91,0,2230,1,2,2016-07-05,18733447,1190,0,0,0,"1",1,1,0,0,159,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,5.45923632610939,"1",0
"82",33973672,"gson","todoooo/gson","todoooo","2016-07-05T02:51:58Z/5290/2",1,5290,4,"junit/junit:4.12, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",26,8,"org.apache.maven.plugins/maven-gpg-plugin:1.5, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-javadoc-plugin:3.1.0, junit/junit:4.12, org.apache.maven.plugins/maven-release-plugin:2.4.2, com.google.code.gson/gson:2.7, org.apache.maven.plugins/maven-compiler-plugin:3.5.1, org.apache.maven.plugins/maven-compiler-plugin:3.0, ",0.09,0.91,0,2052,1,2,2016-07-05,18733447,1072,0,0,0,"1",1,0,0,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,5.45923632610939,"1",0
"84",34017422,"spring-data-mongodb","andyduncan192/spring-data-mongodb","andyduncan192","2012-05-31T14:23:18Z/5315/1",1,5315,1,"org.mongodb/mongo-java-driver:${mongo}, ",178,17,"com.mysema.maven/apt-maven-plugin:1.0.8, com.springsource.bundlor/com.springsource.bundlor.maven:1.0.4, org.apache.maven.plugins/maven-project-info-reports-plugin:2.1, org.hamcrest/hamcrest-library:1.2.1, com.mysema.querydsl/querydsl-apt:${querydsl}, org.docbook/docbook-xml:4.4, org.mongodb/mongo-java-driver:${mongo}, org.apache.maven.plugins/maven-surefire-plugin:2.8, org.springframework/spring-tx:${org.springframework.version.range}, org.springframework.build/org.springframework.build.aws.ant:3.0.5.RELEASE, com.agilejava.docbkx/docbkx-maven-plugin:2.0.7, com.springsource.bundlor/com.springsource.bundlor.maven:1.0.0.RELEASE, org.apache.maven.plugins/maven-compiler-plugin:2.4, org.mongodb/mongo-java-driver:${mongo.version}, com.mysema.querydsl/querydsl-apt:${querydsl.version}, org.springframework/spring-tx:${spring}, org.apache.maven.plugins/maven-compiler-plugin:2.5.1, ",0.18,0.82,0,1741,1,3,2012-05-31,18733447,1071,0,0,0,"1",1,0,0,0,22,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465,2.15618661257606,"1",0
"85",32570652,"redisson","qingyezhu/redisson","qingyezhu","2016-10-27T01:54:26Z/5360/1",1,5360,3,"org.apache.maven.scm/maven-scm-provider-gitexe:1.9.5, org.apache.maven.plugins/maven-source-plugin:3.0.1, org.apache.maven.plugins/maven-release-plugin:2.5.3, ",5,3,"org.apache.maven.scm/maven-scm-provider-gitexe:1.9.5, org.apache.maven.plugins/maven-source-plugin:3.0.1, org.apache.maven.plugins/maven-release-plugin:2.5.3, ",0.44,0.56,0,1491,1,1,2016-10-27,18733447,1102,0,0,0,"1",3,2,0,1,229,0,4,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,6.26900584795322,"1",0
"86",35667945,"redisson","qingyezhu/redisson","qingyezhu","2016-10-27T01:54:26Z/5360/2",1,5360,3,"org.apache.maven.scm/maven-scm-provider-gitexe:1.9.5, org.apache.maven.plugins/maven-source-plugin:3.0.1, org.apache.maven.plugins/maven-release-plugin:2.5.3, ",5,3,"org.apache.maven.scm/maven-scm-provider-gitexe:1.9.5, org.apache.maven.plugins/maven-source-plugin:3.0.1, org.apache.maven.plugins/maven-release-plugin:2.5.3, ",0.44,0.56,0,1470,1,1,2016-10-27,18733447,1040,0,0,0,"1",1,0,0,0,603,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,6.26900584795322,"1",0
"89",51152945,"jadx","niranjan94/jadx","niranjan94","2015-12-02T06:30:58Z/5410/5",1,5410,9,"org.slf4j:slf4j-api:1.7.10, junit:junit:4.12, info.solidsoft.pitest version 1.1.4, com.github.kt3k.coveralls version 2.3.1, cglib:cglib-nodep:3.1, org.mockito:mockito-core:1.10.19, org.hamcrest:hamcrest-library:1.3, ch.qos.logback:logback-classic:1.1.2, org.spockframework:spock-core:1.0-groovy-2.4, ",20,31,"com.intellij:annotations:12.0, com.github.kt3k.coveralls version 2.3.1, com.fifesoft:rsyntaxtextarea:2.5.6, commons-io:commons-io:2.4, :jadx-core, com.google.android:android:4.1.1.4, lib/dx-1.10.jar, org.mockito:mockito-core:1.10.19, libs/jfontchooser-1.0.5.jar, org.slf4j:slf4j-api:1.7.7, junit:junit:4.11, junit:junit:4.12, cglib:cglib-nodep:3.1, org.ow2.asm:asm:5.0.3, org.spockframework:spock-core:1.0-groovy-2.3-SNAPSHOT, info.solidsoft.pitest version 1.1.4, com.googlecode.concurrent-trees:concurrent-trees:2.4.0, org.smali:smali:2.0.3, ch.qos.logback:logback-classic:1.1.2, org.hamcrest:hamcrest-library:1.3, uk.com.robust-it:cloning:1.9.2, org.mockito:mockito-core:1.10.13, :jadx-cli, info.solidsoft.pitest version 1.1.1, org.spockframework:spock-core:0.7-groovy-2.0, org.slf4j:slf4j-api:1.7.10, com.fifesoft:rsyntaxtextarea:2.5.7, com.github.kt3k.coveralls version 2.0.1, com.github.kt3k.coveralls version 2.1.0, com.google.code.gson:gson:2.3.1, org.spockframework:spock-core:1.0-groovy-2.4, ",0.19,0.81,0,749,1,2,2015-12-02,18733447,831,0,0,0,"1",1,0,0,0,2,0,1,0,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,4.56540084388186,"1",0
"91",51559562,"gson","dongjoon-hyun/gson","dongjoon-hyun","2016-02-15T00:25:38Z/5513/1",1,5513,4,"junit/junit:3.8.2, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",45,5,"org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-javadoc-plugin:3.1.0, junit/junit:3.8.2, org.apache.maven.plugins/maven-release-plugin:2.4.2, org.apache.maven.plugins/maven-compiler-plugin:3.0, ",0.06,0.94,0,599,1,2,2016-02-15,18733447,826,0,0,0,"1",1,0,0,0,0,0,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,4.96666666666667,"1",0
"92",50264401,"gson","mbrukman/gson","mbrukman","2015-11-27T19:41:20Z/5516/4",1,5516,3,"junit/junit:3.8.2, org.apache.maven.plugins/maven-gpg-plugin:1.5, org.apache.maven.plugins/maven-compiler-plugin:3.3, ",12,0,"-",0.13,0.87,0,3312,1,2,2015-11-27,18733447,843,0,0,0,"1",2,1,0,0,203,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,4.63529411764706,"1",0
"93",55715922,"gson","thetoster/gson","thetoster","2016-03-24T11:13:57Z/5543/3",1,5543,4,"junit/junit:3.8.2, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",1,0,"-",0.06,0.94,0,1618,1,2,2016-03-24,18733447,764,0,0,0,"1",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,5.17070895522388,"1",0
"94",53311433,"RxJava","ugur-zongur/RxJava","ugur-zongur","2013-12-07T06:31:03Z/5544/5",1,5544,0,"-",1,0,"-",0.98,0.02,1,1053,1,2,2013-12-07,18733447,798,0,0,0,"1",2,1,0,0,205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,2.90261780104712,"1",0
"95",54581088,"gson","valery1707/gson","valery1707","2016-03-25T10:14:52Z/5545/4",1,5545,4,"junit/junit:3.8.2, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",5,0,"-",0.06,0.94,0,723,1,2,2016-03-25,18733447,779,0,0,0,"1",1,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,5.17740429505135,"1",0
"96",42537489,"gson","sgbrown/gson","sgbrown","2016-02-23T06:00:24Z/5549/5",1,5549,4,"junit/junit:4.12, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",90,6,"org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-javadoc-plugin:3.1.0, junit/junit:4.12, org.apache.maven.plugins/maven-release-plugin:2.4.2, junit/junit:3.8.2, org.apache.maven.plugins/maven-compiler-plugin:3.0, ",0.06,0.94,0,670,1,2,2016-02-23,18733447,942,0,0,0,"1",2,1,0,0,202,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,5.03539019963702,"1",0
"97",57016816,"gson","rharter/gson","rharter","2016-04-25T14:39:49Z/5582/4",1,5582,4,"junit/junit:3.8.2, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",2,0,"-",0.06,0.94,0,629,1,2,2016-04-25,18733447,746,0,0,0,"1",2,1,0,0,202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,5.36730769230769,"1",0
"99",36600890,"dropwizard","thesmith/dropwizard","thesmith","2013-06-12T16:13:54Z/5624/1",1,5624,3,"junit/junit:4.11, org.apache.maven.plugins/maven-gpg-plugin:1.4, org.apache.maven.plugins/maven-compiler-plugin:3.1, ",90,12,"com.codahale.dropwizard/dropwizard-db:${project.version}, org.apache.maven.plugins/maven-gpg-plugin:1.4, com.codahale.dropwizard/dropwizard-views:${project.version}, com.fasterxml.jackson.core/jackson-annotations:${jackson.version}, io.dropwizard/dropwizard-db:${project.version}, junit/junit:4.11, com.codahale.dropwizard/dropwizard-jackson:${project.version}, com.codahale.dropwizard/dropwizard-util:${project.version}, io.dropwizard/dropwizard-core:${project.version}, com.codahale.dropwizard/dropwizard-logging:${project.version}, org.apache.maven.plugins/maven-compiler-plugin:3.1, com.codahale.dropwizard/dropwizard-core:${project.version}, ",0.33,0.67,0,525,1,2,2013-06-12,18733447,1025,0,0,0,"1",1,0,0,0,3,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,2.69348659003831,"1",0
"100",36451555,"gson","iamrakesh/gson","iamrakesh","2016-11-20T13:16:43Z/5626/3",1,5626,4,"junit/junit:4.12, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.felix/maven-bundle-plugin:2.5.3, ",1,1,"org.apache.maven.plugins/maven-javadoc-plugin:3.1.0, ",0.25,0.75,0,369,1,1,2016-11-20,18733447,1061,0,0,0,"1",1,0,0,0,14,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,6.77015643802647,"1",0
"101",60812008,"dropwizard","Zoroaster668/dropwizard","Zoroaster668","2014-04-30T20:30:21Z/5629/2",1,5629,5,"junit/junit:4.11, com.fasterxml.jackson.core/jackson-annotations:${jackson.api.version}, org.apache.maven.plugins/maven-gpg-plugin:1.4, org.apache.maven.plugins/maven-compiler-plugin:3.1, org.apache.maven.plugins/maven-project-info-reports-plugin:2.7, ",2,0,"-",0.37,0.63,0,315,1,2,2014-04-30,18733447,704,0,0,0,"1",1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766,3.18742921857305,"1",0
"102",60749624,"gson","BK-Choi/gson","BK-Choi","2016-11-25T15:24:30Z/5639/4",1,5639,4,"junit/junit:4.12, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",1,0,"-",0.09,0.91,0,243,1,1,2016-11-25,18733447,704,0,0,0,"1",1,1,0,0,48,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,6.82687651331719,"1",0
"104",65971306,"gson","dhjmjava/gson","dhjmjava","2017-01-26T01:45:16Z/5644/1",1,5644,4,"junit/junit:4.12, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",2,0,"-",0.09,0.91,0,109,1,1,2017-01-26,18733447,640,0,1,0,"1",1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,7.38743455497382,"1",0
"105",62971531,"gson","inferno1988/gson","inferno1988","2016-12-23T09:41:02Z/5645/3",1,5645,4,"junit/junit:4.12, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",2,0,"-",0.09,0.91,0,1296,1,1,2016-12-23,18733447,679,0,0,0,"1",1,0,0,0,20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,7.07393483709273,"1",0
"106",70122392,"gson","spegelref/gson","spegelref","2017-01-11T16:28:18Z/5646/2",1,5646,4,"junit/junit:4.12, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",1,1,"org.apache.maven.plugins/maven-javadoc-plugin:3.1.0, ",0.25,0.75,0,1343,1,1,2017-01-11,18733447,589,0,0,0,"1",0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,7.24775353016688,"1",0
"107",52180980,"gson","ybank/gson","ybank","2016-08-01T03:06:09Z/5647/4",1,5647,4,"junit/junit:4.12, org.apache.maven.scm/maven-scm-provider-gitexe:1.9, org.apache.maven.plugins/maven-compiler-plugin:3.0, org.apache.maven.plugins/maven-release-plugin:2.4.2, ",3,0,"-",0.09,0.91,0,832,1,2,2016-08-01,18733447,817,0,2,0,"1",2,0,0,0,64,0,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,5.99469214437367,"1",0
